,OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
4377,67777,CIRCLE K #2721270,"I-95, EXIT 358B, SR-105",Jacksonville,FL,75,3.34233333,30.406890,-81.642930
4378,67779,REATA PETROLEUM,I-76 & BARLOW RD,Fort Morgan                             ,CO,800,3.439,40.255280,-103.772950
4379,67782,SAMS MART #45,"I-40, EXIT 24 & SR-209",Waynesville,NC,405,3.599,35.524710,-82.958220
4380,67783,RUTTERS #4,US-30 & SR-1016/2011,Wrightsville                            ,PA,70,3.989,40.026720,-76.556820
4381,67784,HAVANA CONVENIENCE,US-136,Havana                                  ,IL,368,3.799,40.294140,-90.058570
4382,67787,PWI #109,"I-20, EXIT 126",Midland,TX,710,2.999,31.973150,-102.069150
4383,67789,BEAR RIVER VALLEY CO OP,SR-13/SR-83,Corinne                                 ,UT,835,3.419,41.555100,-112.129550
4384,67791,KINGSPORT TRUCK STOP,"I-81, EXIT 63",Kingsport,TN,405,3.899,36.506010,-82.435910
4385,67792,CUBBYS #113,US-20/US-275,Oneill                                  ,NE,470,3.22566666,42.457680,-98.649990
4386,67793,PILOT TRAVEL CENTER #131,"I-35, EXIT 34",Osceola                                 ,IA,320,3.459,41.041510,-93.790760
4387,67793,PILOT TRAVEL CENTERS #131,"I-35, EXIT 34",Osceola                                 ,IA,320,3.439,41.041510,-93.790760
4388,67794,ROAD RANGER #181,"I-55, EXIT 90",Springfield,IL,318,3.299,39.798440,-89.643670
4389,67794,ROAD RANGER #181,"I-55, EXIT 90",Springfield,IL,318,3.399,39.798440,-89.643670
4390,67794,ROAD RANGER #181,"I-55, EXIT 90",Springfield,IL,318,3.409,39.798440,-89.643670
4391,67795,ROAD RANGER #263,"I-80, EXIT 93",Ottawa,IL,520,3.219,41.376840,-88.784320
