,OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
4195,67506,PETRO-CANADA,"HWY 2, EXIT 268",Calgary,AB,50,4.01621367,37.523640,-85.302810
4196,67506,PETRO-CANADA,"HWY 2, EXIT 268",Calgary,AB,50,4.07143281,37.523640,-85.302810
4197,67506,PETRO-CANADA,"HWY 2, EXIT 268",Calgary,AB,50,3.87010202,37.523640,-85.302810
4198,67506,PETRO-CANADA,"HWY 2, EXIT 268",Calgary,AB,50,3.86810903,37.523640,-85.302810
4199,67506,PETRO-CANADA,"HWY 2, EXIT 268",Calgary,AB,50,4.00823444,37.523640,-85.302810
4200,67506,PETRO-CANADA,"HWY 2, EXIT 268",Calgary,AB,50,3.86725552,37.523640,-85.302810
4201,67508,PETRO-CANADA,HWY-15 ,Fort Saskatchewan                       ,AB,80,3.72804545,53.720500,-113.172910
4202,67508,PETRO-CANADA,HWY-15 ,Fort Saskatchewan                       ,AB,80,3.56361446,53.720500,-113.172910
4203,67508,PETRO-CANADA,HWY-15 ,Fort Saskatchewan                       ,AB,80,3.93248441,53.720500,-113.172910
4204,67508,PETRO-CANADA,HWY-15 ,Fort Saskatchewan                       ,AB,80,3.95981025,53.720500,-113.172910
4205,67508,PETRO-CANADA,HWY-15 ,Fort Saskatchewan                       ,AB,80,3.86810903,53.720500,-113.172910
4206,67508,PETRO-CANADA,HWY-15 ,Fort Saskatchewan                       ,AB,80,3.92467152,53.720500,-113.172910
4207,67540,PETRO-CANADA,"HWY-97, SMITH AVE EXIT",Quesnel                                 ,BC,850,4.59114784,52.993700,-122.506220
4208,67540,PETRO-CANADA,"HWY-97, SMITH AVE EXIT",Quesnel                                 ,BC,850,4.45521463,52.993700,-122.506220
4209,67540,PETRO-CANADA,"HWY-97, SMITH AVE EXIT",Quesnel                                 ,BC,850,4.60231851,52.993700,-122.506220
4210,67540,PETRO-CANADA,"HWY-97, SMITH AVE EXIT",Quesnel                                 ,BC,850,4.45292033,52.993700,-122.506220
4211,67540,PETRO-CANADA,"HWY-97, SMITH AVE EXIT",Quesnel                                 ,BC,850,4.59317483,52.993700,-122.506220
4212,67540,PETRO-CANADA,"HWY-97, SMITH AVE EXIT",Quesnel                                 ,BC,850,4.60163996,52.993700,-122.506220
4213,67543,PETRO-CANADA,HWY 97,Fort St John,BC,850,4.64888344,56.228620,-120.821120
4214,67543,PETRO-CANADA,HWY 97,Fort St John,BC,850,4.23231459,56.228620,-120.821120
4215,67543,PETRO-CANADA,HWY 97,Fort St John,BC,850,4.43420612,56.228620,-120.821120
4216,67543,PETRO-CANADA,HWY 97,Fort St John,BC,850,4.23013507,56.228620,-120.821120
4217,67543,PETRO-CANADA,HWY 97,Fort St John,BC,850,4.22920168,56.228620,-120.821120
4218,67543,PETRO-CANADA,HWY 97,Fort St John,BC,850,4.35113072,56.228620,-120.821120
4219,67550,PETRO-CANADA,QEW EXIT 88/89,Hamilton                                ,ON,430,3.65338686,43.242610,-79.741890
4220,67550,PETRO-CANADA,QEW EXIT 88/89,Hamilton                                ,ON,430,3.61747561,43.242610,-79.741890
4221,67550,PETRO-CANADA,QEW EXIT 88/89,Hamilton                                ,ON,430,3.65284821,43.242610,-79.741890
4222,67550,PETRO-CANADA,QEW EXIT 88/89,Hamilton                                ,ON,430,3.61933947,43.242610,-79.741890
4223,67550,PETRO-CANADA,QEW EXIT 88/89,Hamilton                                ,ON,430,3.64612848,43.242610,-79.741890
4224,67550,PETRO-CANADA,QEW EXIT 88/89,Hamilton                                ,ON,430,3.58883539,43.242610,-79.741890
4225,67556,PETRO-CANADA,"HWY 401, EXIT 611",Kingston                                ,ON,410,3.7575457,44.285430,-76.570020
4226,67556,PETRO-CANADA,"HWY 401, EXIT 611",Kingston                                ,ON,410,3.7567164,44.285430,-76.570020
4227,67556,PETRO-CANADA,"HWY 401, EXIT 611",Kingston                                ,ON,410,3.82028205,44.285430,-76.570020
4228,67556,PETRO-CANADA,"HWY 401, EXIT 611",Kingston                                ,ON,410,3.75588747,44.285430,-76.570020
4229,67556,PETRO-CANADA,"HWY 401, EXIT 611",Kingston                                ,ON,410,3.48002694,44.285430,-76.570020
4230,67556,PETRO-CANADA,"HWY 401, EXIT 611",Kingston                                ,ON,410,3.76502588,44.285430,-76.570020
4231,67560,PETRO-CANADA,"HWY-401, EXIT 320 & HWY-8",Milton                                  ,ON,970,3.39394131,43.526180,-79.911530
4232,67560,PETRO-CANADA,"HWY-401, EXIT 320 & HWY-8",Milton                                  ,ON,970,3.39643942,43.526180,-79.911530
4233,67560,PETRO-CANADA,"HWY-401, EXIT 320 & HWY-8",Milton                                  ,ON,970,3.45801858,43.526180,-79.911530
4234,67560,PETRO-CANADA,"HWY-401, EXIT 320 & HWY-8",Milton                                  ,ON,970,3.45114834,43.526180,-79.911530
4235,67560,PETRO-CANADA,"HWY-401, EXIT 320 & HWY-8",Milton                                  ,ON,970,3.45750874,43.526180,-79.911530
4236,67560,PETRO-CANADA,"HWY-401, EXIT 320 & HWY-8",Milton                                  ,ON,970,3.39469036,43.526180,-79.911530
4237,67566,CIRCLE K,"HWYY 407, EXIT 48",Mississauga,ON,720,3.31798054,43.556910,-79.584010
4238,67566,CIRCLE K,"HWYY 407, EXIT 48",Mississauga,ON,720,3.22688923,43.556910,-79.584010
4239,67566,CIRCLE K,"HWYY 407, EXIT 48",Mississauga,ON,720,3.2571269,43.556910,-79.584010
4240,67566,CIRCLE K,"HWYY 407, EXIT 48",Mississauga,ON,720,3.23474054,43.556910,-79.584010
4241,67566,CIRCLE K,"HWYY 407, EXIT 48",Mississauga,ON,720,3.22760141,43.556910,-79.584010
4242,67566,CIRCLE K,"HWYY 407, EXIT 48",Mississauga,ON,720,3.22831391,43.556910,-79.584010
4243,67568,PETRO-CANADA,"HWY 403, EXIT 109",Burlington                              ,ON,970,3.31041527,43.391540,-79.760350
4244,67568,PETRO-CANADA,"HWY 403, EXIT 109",Burlington                              ,ON,970,3.31114588,43.391540,-79.760350
4245,67568,PETRO-CANADA,"HWY 403, EXIT 109",Burlington                              ,ON,970,3.31846981,43.391540,-79.760350
4246,67568,PETRO-CANADA,"HWY 403, EXIT 109",Burlington                              ,ON,970,3.31285191,43.391540,-79.760350
